const_type,year_start,year_end,refurbishment_type,detail,cea_use_type1
SFH_A,1000,1859,standard,single_family_house,SINGLE_RES
SFH_B,1860,1918,standard,single_family_house,SINGLE_RES
SFH_C,1919,1948,standard,single_family_house,SINGLE_RES
SFH_D,1949,1957,standard,single_family_house,SINGLE_RES
SFH_E,1958,1968,standard,single_family_house,SINGLE_RES
SFH_F,1969,1978,standard,single_family_house,SINGLE_RES
SFH_G,1979,1983,standard,single_family_house,SINGLE_RES
SFH_H,1984,1994,standard,single_family_house,SINGLE_RES
SFH_I,1995,2001,standard,single_family_house,SINGLE_RES
SFH_J,2002,2009,standard,single_family_house,SINGLE_RES
SFH_K,2010,2015,standard,single_family_house,SINGLE_RES
SFH_L,2016,2030,standard,single_family_house,SINGLE_RES
MFH_A,1000,1859,standard,multi_family_house,MULTI_RES
MFH_B,1860,1918,standard,multi_family_house,MULTI_RES
MFH_C,1919,1948,standard,multi_family_house,MULTI_RES
MFH_D,1949,1957,standard,multi_family_house,MULTI_RES
MFH_E,1958,1968,standard,multi_family_house,MULTI_RES
MFH_F,1969,1978,standard,multi_family_house,MULTI_RES
MFH_G,1979,1983,standard,multi_family_house,MULTI_RES
MFH_H,1984,1994,standard,multi_family_house,MULTI_RES
MFH_I,1995,2001,standard,multi_family_house,MULTI_RES
MFH_J,2002,2009,standard,multi_family_house,MULTI_RES
MFH_K,2010,2015,standard,multi_family_house,MULTI_RES
MFH_L,2016,2030,standard,multi_family_house,MULTI_RES
TH_B,1860,1918,standard,terraced_house,MULTI_RES
TH_C,1919,1948,standard,terraced_house,MULTI_RES
TH_D,1949,1957,standard,terraced_house,MULTI_RES
TH_E,1958,1968,standard,terraced_house,MULTI_RES
TH_F,1969,1978,standard,terraced_house,MULTI_RES
TH_G,1979,1983,standard,terraced_house,MULTI_RES
TH_H,1984,1994,standard,terraced_house,MULTI_RES
TH_I,1995,2001,standard,terraced_house,MULTI_RES
TH_J,2002,2009,standard,terraced_house,MULTI_RES
TH_K,2010,2015,standard,terraced_house,MULTI_RES
TH_L,2016,2030,standard,terraced_house,MULTI_RES
AB_B,1860,1918,standard,apartment_block,MULTI_RES
AB_C,1919,1948,standard,apartment_block,MULTI_RES
AB_D,1949,1957,standard,apartment_block,MULTI_RES
AB_E,1958,1968,standard,apartment_block,MULTI_RES
AB_F,1969,1978,standard,apartment_block,MULTI_RES
HR_E,1958,1968,standard,high_rise,MULTI_RES
HR_F,1969,1978,standard,high_rise,MULTI_RES
SFH_A_NR,1000,1859,normal_refurbishment,single_family_house,SINGLE_RES
SFH_B_NR,1860,1918,normal_refurbishment,single_family_house,SINGLE_RES
SFH_C_NR,1919,1948,normal_refurbishment,single_family_house,SINGLE_RES
SFH_D_NR,1949,1957,normal_refurbishment,single_family_house,SINGLE_RES
SFH_E_NR,1958,1968,normal_refurbishment,single_family_house,SINGLE_RES
SFH_F_NR,1969,1978,normal_refurbishment,single_family_house,SINGLE_RES
SFH_G_NR,1979,1983,normal_refurbishment,single_family_house,SINGLE_RES
SFH_H_NR,1984,1994,normal_refurbishment,single_family_house,SINGLE_RES
SFH_I_NR,1995,2001,normal_refurbishment,single_family_house,SINGLE_RES
SFH_J_NR,2002,2009,normal_refurbishment,single_family_house,SINGLE_RES
SFH_K_NR,2010,2015,normal_refurbishment,single_family_house,SINGLE_RES
SFH_L_NR,2016,2030,normal_refurbishment,single_family_house,SINGLE_RES
MFH_A_NR,1000,1859,normal_refurbishment,multi_family_house,MULTI_RES
MFH_B_NR,1860,1918,normal_refurbishment,multi_family_house,MULTI_RES
MFH_C_NR,1919,1948,normal_refurbishment,multi_family_house,MULTI_RES
MFH_D_NR,1949,1957,normal_refurbishment,multi_family_house,MULTI_RES
MFH_E_NR,1958,1968,normal_refurbishment,multi_family_house,MULTI_RES
MFH_F_NR,1969,1978,normal_refurbishment,multi_family_house,MULTI_RES
MFH_G_NR,1979,1983,normal_refurbishment,multi_family_house,MULTI_RES
MFH_H_NR,1984,1994,normal_refurbishment,multi_family_house,MULTI_RES
MFH_I_NR,1995,2001,normal_refurbishment,multi_family_house,MULTI_RES
MFH_J_NR,2002,2009,normal_refurbishment,multi_family_house,MULTI_RES
MFH_K_NR,2010,2015,normal_refurbishment,multi_family_house,MULTI_RES
MFH_L_NR,2016,2030,normal_refurbishment,multi_family_house,MULTI_RES
TH_B_NR,1860,1918,normal_refurbishment,terraced_house,MULTI_RES
TH_C_NR,1919,1948,normal_refurbishment,terraced_house,MULTI_RES
TH_D_NR,1949,1957,normal_refurbishment,terraced_house,MULTI_RES
